arm,target,split_seed,criterion,layer,probe,hg_kind,r2,within_r2,concordance,top1,regret_norm_mean,kendall_tau,val_score,n_params,date,phase,output_path
MDLM_anc,A_pertok,0,within_r2,6,P2k_additive_wc_d32,hg,,0.5665671790407323,0.7924444444444444,0.4483333333333333,0.1497826583901659,0.5848888888888888,0.5577951786874477,165,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
MDLM_anc,A_pertok,0,within_r2,6,P3_film,hg,0.389585927807624,0.47707615862067,0.7605555555555555,0.39666666666666667,0.17519343966043296,0.5211111111111112,0.4713991722596025,25255,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
MDLM_anc,A_pertok,0,within_r2,6,P4_relmlp_w128,hg,0.4248954782137623,0.4677359580616337,0.7541111111111111,0.4066666666666667,0.17651489801317283,0.5082222222222221,0.48476386279874084,94977,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
MDLM_anc,A_pertok,0,within_r2,6,P4_relmlp_w512,hg,0.4733439255228741,0.49869339537787427,0.7616666666666667,0.405,0.1705443340714084,0.5233333333333333,0.5031825780167778,379905,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
MDLM_anc,A_pertok,0,within_r2,6,P4_cheaponly_mlp,hg,0.5160207928036877,0.5666886317465598,0.7768888888888889,0.42333333333333334,0.1556488050974627,0.5537777777777777,0.5620894942870345,52225,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
MDLM_anc,A_pertok,0,within_r2,6,P5_rff_g0.1,hg,0.5196412796451291,0.5422228834729622,0.7741111111111111,0.46,0.15354949982519892,0.5482222222222222,0.5336336226882494,1025,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
MDLM_anc,A_pertok,0,within_r2,6,P5_rff_cheaponly_g0.1,hg,0.5124329434456318,0.5534966842588962,0.7777777777777778,0.43,0.1541146711390958,0.5555555555555555,0.5440919513233471,1025,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
MDLM_anc,A_pertok,0,within_r2,6,P5_rff_g1,hg,0.42286104843900263,0.43121098025864757,0.7394444444444445,0.375,0.18565456905818034,0.47888888888888886,0.4500192116069406,1025,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
MDLM_anc,A_pertok,0,within_r2,6,P5_rff_cheaponly_g1,hg,0.4715620887555567,0.5027810258548586,0.7583333333333333,0.42,0.16262726253182766,0.5166666666666667,0.508182482927134,1025,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
MDLM_anc,A_pertok,0,within_r2,6,P5_rff_g10,hg,-0.00316569314369497,0.00048233253777951735,0.5044444444444445,0.16666666666666666,0.4489279493912679,0.008888888888888887,0.0007609201915916852,1025,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
MDLM_anc,A_pertok,0,within_r2,6,P5_rff_cheaponly_g10,hg,0.003961559414905835,0.011363239221250154,0.5293333333333333,0.18166666666666667,0.42697027125563003,0.05866666666666667,0.023028592422593697,1025,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
